student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
S0001,Student_1,A,79.97,83.89,48.77,74.76,67,8.72
S0002,Student_2,D,73.62,75.38,63.69,75.81,77,9.12
S0003,Student_3,B,81.48,71.88,64.86,64.52,82,10.17
S0004,Student_4,A,90.23,87.34,57.97,74.55,84,10.11
S0005,Student_5,A,72.66,92.37,67.58,75.22,70,5.24
S0006,Student_6,D,72.66,91.18,76.06,64.14,74,6.12
S0007,Student_7,D,90.79,69.93,98.29,92.52,92,9.03
S0008,Student_8,C,82.67,76.29,72.62,77.21,74,9.03
S0009,Student_9,A,70.31,83.98,73.86,58.9,75,9.03
S0010,Student_10,C,80.43,91.71,68.88,79.22,85,12.0
S0011,Student_11,D,70.37,74.25,41.22,61.28,59,9.14
S0012,Student_12,D,70.34,77.77,69.6,80.66,74,10.27
S0013,Student_13,B,77.42,66.72,70.9,84.74,58,9.91
S0014,Student_14,A,55.87,65.65,100.0,62.97,63,9.3
S0015,Student_15,C,57.75,89.75,67.11,82.6,72,7.37
S0016,Student_16,D,69.38,96.27,74.52,76.54,73,9.52
S0017,Student_17,D,64.87,79.14,69.48,81.04,81,6.45
S0018,Student_18,C,78.14,92.04,52.47,92.86,72,7.53
S0019,Student_19,B,65.92,84.34,87.14,69.3,74,7.03
S0020,Student_20,D,60.88,72.26,81.28,63.71,69,8.16
S0021,Student_21,A,89.66,84.34,81.87,62.22,88,12.0
S0022,Student_22,D,72.74,98.46,56.36,63.03,68,4.27
S0023,Student_23,A,75.68,79.57,91.04,71.15,84,9.37
S0024,Student_24,C,60.75,98.78,48.97,75.75,72,4.77
S0025,Student_25,A,69.56,48.56,78.8,75.04,61,7.06
S0026,Student_26,C,76.11,89.86,100.0,81.1,88,10.18
S0027,Student_27,A,63.49,81.04,55.14,72.14,69,8.13
S0028,Student_28,C,78.76,76.41,61.51,87.99,73,5.84
S0029,Student_29,A,68.99,81.1,71.49,69.09,73,6.57
S0030,Student_30,B,72.08,56.15,62.45,100.0,69,9.36
S0031,Student_31,A,68.98,77.36,46.74,78.88,69,6.54
S0032,Student_32,A,93.52,84.29,71.03,62.57,83,8.43
S0033,Student_33,B,74.87,97.73,54.07,60.22,82,8.09
S0034,Student_34,D,64.42,73.78,77.1,77.31,66,6.7
S0035,Student_35,D,83.23,70.3,56.21,69.54,81,12.0
S0036,Student_36,A,62.79,73.98,93.25,79.85,65,9.27
S0037,Student_37,B,77.09,90.98,58.25,77.21,76,3.95
S0038,Student_38,A,55.4,83.95,65.17,71.2,72,8.37
S0039,Student_39,C,61.72,73.64,82.2,62.69,70,6.68
S0040,Student_40,C,76.97,86.16,51.54,55.34,67,9.7
S0041,Student_41,A,82.38,81.16,73.41,67.09,76,6.41
S0042,Student_42,D,76.71,91.62,89.61,81.42,82,7.77
S0043,Student_43,D,73.84,71.58,45.89,74.36,64,9.01
S0044,Student_44,A,71.99,76.07,72.77,58.3,74,9.73
S0045,Student_45,A,60.21,75.29,73.9,73.9,71,5.6
S0046,Student_46,C,67.8,62.44,81.73,76.24,67,7.33
S0047,Student_47,D,70.39,83.55,51.45,62.28,73,7.05
S0048,Student_48,A,85.57,83.13,50.19,73.69,76,6.69
S0049,Student_49,C,78.44,80.06,77.83,72.64,81,11.53
S0050,Student_50,D,57.37,77.18,74.45,59.43,70,8.81
